Date,Store,Store_Type,Store_Status,Promo,Promo2,School_Holiday,Customers,Sales,DayOfWeek,is_holiday
2021-02-13,1,pharmacy,1,0,0,0,96,104,5,0
2021-02-14,1,pharmacy,1,0,0,0,92,137,6,0
2021-02-15,1,supermarket,1,0,0,0,101,65,0,1
2021-02-16,1,convenience,1,0,0,0,84,58,1,0
2021-02-17,1,pharmacy,1,0,0,0,113,0,2,0
2021-02-18,1,convenience,1,0,0,0,95,17,3,0
2021-02-19,1,convenience,1,1,0,0,115,1077,4,0
2021-02-20,1,convenience,0,0,0,0,0,0,5,0
2021-02-21,1,pharmacy,1,0,0,0,93,59,6,0
2021-02-22,1,convenience,1,0,0,0,110,4,0,0
2021-02-23,1,pharmacy,1,0,0,0,90,0,1,0
2021-02-24,1,convenience,1,0,0,0,97,26,2,0
2021-02-25,1,supermarket,1,1,0,0,95,1116,3,0
2021-02-26,1,supermarket,1,1,0,0,107,1429,4,0
2021-02-27,1,pharmacy,1,0,0,0,101,0,5,0
2021-02-28,1,supermarket,1,0,0,0,111,285,6,0
2021-03-01,1,supermarket,1,0,1,0,94,163,0,0
2021-03-02,1,convenience,1,1,0,0,76,570,1,0
2021-03-03,1,pharmacy,1,0,0,0,84,125,2,0
2021-03-04,1,convenience,0,0,0,0,0,0,3,0
2021-03-05,1,convenience,1,1,0,0,110,1046,4,0
2021-03-06,1,convenience,1,1,0,0,109,1138,5,0
2021-03-07,1,convenience,1,0,0,0,86,0,6,0
2021-03-08,1,convenience,1,1,0,0,111,952,0,0
2021-03-09,1,convenience,1,0,0,0,102,75,1,0
2021-03-10,1,convenience,1,0,0,0,114,0,2,0
2021-03-11,1,pharmacy,1,0,0,0,102,0,3,0
2021-03-12,1,supermarket,1,1,0,0,117,1500,4,0
2021-03-13,1,convenience,1,0,1,0,99,36,5,0
2021-03-14,1,convenience,1,0,0,0,90,0,6,0
2021-03-15,1,convenience,1,1,0,0,96,876,0,0
2021-03-16,1,convenience,1,0,0,0,92,223,1,0
2021-03-17,1,convenience,1,1,0,0,85,866,2,0
2021-03-18,1,convenience,1,0,0,0,103,0,3,0
2021-03-19,1,supermarket,0,0,1,0,0,0,4,0
2021-03-20,1,supermarket,1,0,0,0,99,118,5,0
2021-03-21,1,convenience,1,1,0,0,113,1133,6,0
2021-03-22,1,supermarket,1,0,1,0,94,0,0,0
2021-03-23,1,pharmacy,1,0,1,0,103,0,1,0
2021-03-24,1,convenience,1,0,0,0,114,0,2,0
2021-03-25,1,pharmacy,1,1,0,0,93,1086,3,0
2021-03-26,1,pharmacy,1,0,0,0,103,0,4,0
2021-03-27,1,convenience,1,0,0,0,97,155,5,0
2021-03-28,1,supermarket,1,0,1,0,85,129,6,0
2021-03-29,1,pharmacy,1,1,0,0,105,1130,0,0
2021-03-30,1,convenience,1,0,0,0,98,0,1,0
2021-03-31,1,pharmacy,1,0,0,0,101,0,2,0
2021-04-01,1,pharmacy,1,1,0,0,114,1299,3,0
2021-04-02,1,pharmacy,1,1,0,0,101,1196,4,0
2021-04-03,1,pharmacy,1,0,0,0,92,0,5,0
2021-04-04,1,supermarket,1,1,0,0,106,1015,6,0
2021-04-05,1,pharmacy,1,0,0,0,91,68,0,0
2021-04-06,1,pharmacy,1,0,0,0,105,0,1,0
2021-04-07,1,pharmacy,1,0,0,0,121,0,2,0
2021-04-08,1,supermarket,1,0,0,0,115,99,3,0
2021-04-09,1,pharmacy,0,1,0,0,0,0,4,0
2021-04-10,1,pharmacy,1,0,0,0,101,25,5,0
2021-04-11,1,supermarket,1,0,0,0,101,9,6,0
2021-04-12,1,supermarket,0,0,0,0,0,0,0,0
2021-04-13,1,supermarket,1,0,0,0,93,20,1,0
2021-04-14,1,pharmacy,1,0,0,0,93,0,2,0
2021-04-15,1,supermarket,1,0,0,0,88,4,3,0
2021-04-16,1,supermarket,0,0,0,0,0,0,4,0
2021-04-17,1,pharmacy,1,1,0,0,112,1181,5,0
2021-04-18,1,supermarket,1,0,0,0,96,0,6,0
2021-04-19,1,pharmacy,1,0,1,0,96,0,0,0
2021-04-20,1,convenience,1,0,0,0,100,85,1,0
2021-04-21,1,supermarket,1,0,0,0,103,0,2,0
2021-04-22,1,convenience,1,1,0,0,97,759,3,0
2021-04-23,1,pharmacy,0,1,0,0,0,0,4,0
2021-04-24,1,supermarket,1,0,0,0,111,0,5,0
2021-04-25,1,pharmacy,1,0,0,0,93,0,6,0
2021-04-26,1,convenience,1,0,0,0,91,71,0,0
2021-04-27,1,pharmacy,1,0,0,0,114,0,1,0
2021-04-28,1,supermarket,0,0,0,0,0,0,2,0
2021-04-29,1,supermarket,1,1,0,0,122,1528,3,0
2021-04-30,1,convenience,1,1,1,0,99,935,4,0
2021-05-01,1,pharmacy,1,0,0,0,102,0,5,0
2021-05-02,1,supermarket,0,1,0,0,0,0,6,0
2021-05-03,1,convenience,1,1,0,0,101,999,0,0
2021-05-04,1,supermarket,1,1,0,0,116,1475,1,0
2021-05-05,1,supermarket,1,1,0,0,110,1350,2,0
2021-05-06,1,pharmacy,1,0,0,0,86,0,3,0
2021-05-07,1,supermarket,0,0,0,0,0,0,4,0
2021-05-08,1,pharmacy,1,1,0,0,93,884,5,0
2021-05-09,1,supermarket,1,1,0,0,82,975,6,0
2021-05-10,1,convenience,1,1,0,0,118,1063,0,0
2021-05-11,1,supermarket,1,0,0,0,97,0,1,0
2021-05-12,1,pharmacy,1,0,0,0,99,0,2,0
2021-05-13,1,pharmacy,1,0,0,0,95,136,3,0
2021-05-14,1,convenience,1,0,0,0,104,162,4,0
2021-05-15,1,supermarket,1,0,1,0,121,0,5,0
2021-05-16,1,supermarket,1,0,0,0,96,28,6,0
2021-05-17,1,convenience,1,0,0,0,86,5,0,0
2021-05-18,1,supermarket,1,0,0,0,105,67,1,0
2021-05-19,1,supermarket,1,0,0,0,108,173,2,0
2021-05-20,1,pharmacy,1,0,0,0,97,218,3,0
2021-05-21,1,supermarket,1,0,0,0,107,71,4,0
2021-05-22,1,supermarket,1,0,0,0,99,4,5,0
2021-05-23,1,convenience,1,1,0,0,116,1007,6,0
2021-05-24,1,convenience,1,0,0,0,98,248,0,0
2021-05-25,1,pharmacy,0,0,0,0,0,0,1,0
2021-05-26,1,supermarket,1,1,0,0,103,1318,2,0
2021-05-27,1,supermarket,1,0,0,0,108,0,3,0
2021-05-28,1,supermarket,1,1,0,0,98,1042,4,0
2021-05-29,1,pharmacy,1,0,0,0,99,171,5,0
2021-05-30,1,pharmacy,1,1,1,0,119,1134,6,0
2021-05-31,1,convenience,1,0,0,0,79,0,0,1
2021-06-01,1,pharmacy,1,1,0,1,95,1115,1,0
2021-06-02,1,supermarket,1,1,0,1,69,797,2,0
2021-06-03,1,supermarket,1,0,0,1,77,43,3,0
2021-06-04,1,pharmacy,1,0,1,1,92,0,4,0
2021-06-05,1,supermarket,1,0,0,1,98,60,5,0
2021-06-06,1,supermarket,1,0,0,1,112,0,6,0
2021-06-07,1,pharmacy,1,0,0,1,85,90,0,0
2021-06-08,1,pharmacy,1,1,0,1,83,1006,1,0
2021-06-09,1,supermarket,1,0,0,1,105,154,2,0
2021-06-10,1,supermarket,0,0,0,1,0,0,3,0
2021-06-11,1,supermarket,1,1,0,1,95,1129,4,0
2021-06-12,1,convenience,1,0,0,1,88,69,5,0
2021-06-13,1,convenience,1,0,0,1,108,41,6,0
2021-06-14,1,convenience,1,1,1,1,97,915,0,0
2021-06-15,1,pharmacy,1,1,0,1,77,714,1,0
2021-06-16,1,convenience,1,0,0,1,95,75,2,0
2021-06-17,1,pharmacy,0,1,1,1,0,0,3,0
2021-06-18,1,pharmacy,1,0,0,1,82,182,4,1
2021-06-19,1,convenience,1,0,0,1,87,116,5,1
2021-06-20,1,convenience,1,0,0,1,77,14,6,0
2021-06-21,1,convenience,1,0,0,1,93,0,0,0
2021-06-22,1,supermarket,1,0,0,1,66,0,1,0
2021-06-23,1,convenience,1,0,0,1,83,181,2,0
2021-06-24,1,supermarket,1,1,0,1,95,1033,3,0
2021-06-25,1,pharmacy,1,0,0,1,85,0,4,0
2021-06-26,1,supermarket,1,1,0,1,70,929,5,0
2021-06-27,1,convenience,1,0,0,1,79,8,6,0
2021-06-28,1,pharmacy,1,1,0,1,97,1093,0,0
2021-06-29,1,pharmacy,1,0,0,1,91,18,1,0
2021-06-30,1,pharmacy,1,0,0,1,76,0,2,0
2021-07-01,1,supermarket,1,0,1,1,109,36,3,0
2021-07-02,1,convenience,1,1,0,1,94,813,4,0
2021-07-03,1,pharmacy,1,1,0,1,71,734,5,0
2021-07-04,1,pharmacy,1,0,0,1,89,142,6,1
2021-07-05,1,pharmacy,1,0,0,1,88,79,0,1
2021-07-06,1,supermarket,1,0,0,1,93,0,1,0
2021-07-07,1,supermarket,1,1,0,1,69,849,2,0
2021-07-08,1,convenience,1,1,0,1,90,916,3,0
2021-07-09,1,supermarket,1,1,1,1,108,1171,4,0
2021-07-10,1,pharmacy,1,1,0,1,92,925,5,0
2021-07-11,1,convenience,1,1,0,1,82,838,6,0
2021-07-12,1,pharmacy,1,0,0,1,93,0,0,0
2021-07-13,1,pharmacy,1,1,0,1,85,737,1,0
2021-07-14,1,supermarket,1,1,0,1,94,1247,2,0
2021-07-15,1,convenience,1,1,0,1,102,900,3,0
2021-07-16,1,supermarket,1,0,1,1,67,37,4,0
2021-07-17,1,supermarket,0,0,0,1,0,0,5,0
2021-07-18,1,convenience,1,0,0,1,100,112,6,0
2021-07-19,1,pharmacy,1,0,0,1,82,0,0,0
2021-07-20,1,pharmacy,1,0,0,1,80,66,1,0
2021-07-21,1,convenience,1,0,0,1,89,131,2,0
2021-07-22,1,pharmacy,1,0,0,1,90,0,3,0
2021-07-23,1,convenience,0,0,0,1,0,0,4,0
2021-07-24,1,convenience,1,0,0,1,91,164,5,0
2021-07-25,1,supermarket,1,0,1,1,80,108,6,0
2021-07-26,1,convenience,1,1,0,1,73,575,0,0
2021-07-27,1,supermarket,1,1,0,1,98,1054,1,0
2021-07-28,1,pharmacy,1,0,1,1,88,28,2,0
2021-07-29,1,pharmacy,1,1,1,1,98,1110,3,0
2021-07-30,1,pharmacy,1,1,0,1,63,687,4,0
2021-07-31,1,pharmacy,1,0,0,1,88,233,5,0
2021-08-01,1,supermarket,1,0,0,1,85,64,6,0
2021-08-02,1,pharmacy,1,0,0,1,74,0,0,0
2021-08-03,1,convenience,1,0,0,1,102,105,1,0
2021-08-04,1,convenience,1,1,1,1,97,878,2,0
2021-08-05,1,convenience,1,0,0,1,78,0,3,0
2021-08-06,1,supermarket,1,0,0,1,76,90,4,0
2021-08-07,1,pharmacy,1,1,0,1,100,1247,5,0
2021-08-08,1,pharmacy,1,0,0,1,82,21,6,0
2021-08-09,1,pharmacy,1,1,0,1,84,826,0,0
2021-08-10,1,supermarket,0,0,0,1,0,0,1,0
2021-08-11,1,convenience,0,0,0,1,0,0,2,0
2021-08-12,1,convenience,1,0,0,1,77,22,3,0
2021-08-13,1,pharmacy,1,0,0,1,85,75,4,0
2021-08-14,1,convenience,1,0,0,1,114,0,5,0
2021-08-15,1,convenience,1,0,0,1,90,71,6,0
2021-08-16,1,supermarket,1,0,0,1,87,0,0,0
2021-08-17,1,supermarket,1,0,1,1,95,0,1,0
2021-08-18,1,supermarket,1,0,1,1,91,0,2,0
2021-08-19,1,supermarket,1,1,0,1,97,1056,3,0
2021-08-20,1,pharmacy,1,0,0,1,87,176,4,0
2021-08-21,1,supermarket,1,0,0,1,86,84,5,0
2021-08-22,1,convenience,1,0,1,1,79,129,6,0
2021-08-23,1,pharmacy,1,0,0,1,92,0,0,0
2021-08-24,1,convenience,1,0,0,1,92,179,1,0
2021-08-25,1,convenience,1,0,0,1,87,0,2,0
2021-08-26,1,convenience,1,1,0,1,76,605,3,0
2021-08-27,1,supermarket,0,0,0,1,0,0,4,0
2021-08-28,1,supermarket,1,0,0,1,77,0,5,0
2021-08-29,1,pharmacy,1,0,0,1,94,0,6,0
2021-08-30,1,pharmacy,1,1,0,1,74,724,0,0
2021-08-31,1,supermarket,1,0,0,1,83,90,1,0
2021-09-01,1,convenience,1,0,0,0,115,260,2,0
2021-09-02,1,pharmacy,1,0,0,0,99,0,3,0
2021-09-03,1,supermarket,0,0,0,0,0,0,4,0
2021-09-04,1,supermarket,1,0,0,0,94,0,5,0
2021-09-05,1,supermarket,1,1,1,0,83,903,6,0
2021-09-06,1,convenience,1,0,0,0,92,0,0,1
2021-09-07,1,supermarket,1,0,0,0,91,81,1,0
2021-09-08,1,supermarket,1,1,0,0,99,1381,2,0
2021-09-09,1,supermarket,1,0,1,0,82,0,3,0
2021-09-10,1,supermarket,1,0,0,0,109,0,4,0
2021-09-11,1,pharmacy,1,0,0,0,134,0,5,0
2021-09-12,1,pharmacy,1,0,0,0,110,68,6,0
2021-09-13,1,supermarket,1,0,0,0,101,10,0,0
2021-09-14,1,convenience,0,0,0,0,0,0,1,0
2021-09-15,1,pharmacy,1,1,1,0,92,937,2,0
2021-09-16,1,supermarket,1,1,0,0,94,1217,3,0
2021-09-17,1,pharmacy,1,1,1,0,87,897,4,0
2021-09-18,1,pharmacy,1,0,0,0,91,0,5,0
2021-09-19,1,convenience,1,0,1,0,84,142,6,0
2021-09-20,1,supermarket,1,0,0,0,91,187,0,0
2021-09-21,1,supermarket,1,0,0,0,88,40,1,0
2021-09-22,1,convenience,1,1,0,0,102,854,2,0
2021-09-23,1,convenience,1,0,0,0,114,0,3,0
2021-09-24,1,supermarket,1,1,0,0,88,1112,4,0
2021-09-25,1,supermarket,0,0,0,0,0,0,5,0
2021-09-26,1,convenience,1,0,0,0,95,87,6,0
2021-09-27,1,pharmacy,1,0,0,0,103,0,0,0
2021-09-28,1,pharmacy,1,0,0,0,105,0,1,0
2021-09-29,1,convenience,0,1,0,0,0,0,2,0
2021-09-30,1,pharmacy,1,1,1,0,123,1209,3,0
2021-10-01,1,convenience,1,0,1,0,102,0,4,0
2021-10-02,1,pharmacy,1,0,0,0,98,19,5,0
2021-10-03,1,pharmacy,1,0,0,0,110,0,6,0
2021-10-04,1,supermarket,1,0,0,0,97,109,0,0
2021-10-05,1,supermarket,1,0,0,0,98,5,1,0
2021-10-06,1,pharmacy,1,1,0,0,99,1160,2,0
2021-10-07,1,pharmacy,1,0,0,0,97,0,3,0
2021-10-08,1,supermarket,1,0,0,0,88,0,4,0
2021-10-09,1,supermarket,1,1,0,0,105,1408,5,0
2021-10-10,1,supermarket,1,0,0,0,108,97,6,0
2021-10-11,1,convenience,1,0,1,0,117,33,0,1
2021-10-12,1,pharmacy,1,0,0,0,88,0,1,0
2021-10-13,1,supermarket,1,0,0,0,102,0,2,0
2021-10-14,1,pharmacy,1,0,0,0,96,0,3,0
2021-10-15,1,convenience,1,0,0,0,95,63,4,0
2021-10-16,1,convenience,1,1,0,0,80,521,5,0
2021-10-17,1,supermarket,1,1,0,0,94,1307,6,0
2021-10-18,1,convenience,1,1,0,0,125,1248,0,0
2021-10-19,1,pharmacy,1,0,0,0,90,121,1,0
2021-10-20,1,supermarket,1,1,0,0,112,1405,2,0
2021-10-21,1,pharmacy,0,0,0,0,0,0,3,0
2021-10-22,1,pharmacy,1,0,0,0,84,37,4,0
2021-10-23,1,convenience,0,0,0,0,0,0,5,0
2021-10-24,1,convenience,1,0,0,0,100,211,6,0
2021-10-25,1,convenience,1,0,0,0,108,0,0,0
2021-10-26,1,convenience,1,0,0,0,96,0,1,0
2021-10-27,1,convenience,1,1,0,0,95,828,2,0
2021-10-28,1,supermarket,0,0,0,0,0,0,3,0
2021-10-29,1,pharmacy,1,1,0,0,100,1180,4,0
2021-10-30,1,pharmacy,1,0,0,0,98,0,5,0
2021-10-31,1,pharmacy,1,0,0,0,101,0,6,0
2021-11-01,1,pharmacy,1,0,0,0,103,133,0,0
2021-11-02,1,convenience,1,0,0,0,110,107,1,0
2021-11-03,1,pharmacy,1,0,0,0,94,0,2,0
2021-11-04,1,supermarket,1,0,0,0,108,118,3,0
2021-11-05,1,supermarket,0,0,0,0,0,0,4,0
2021-11-06,1,pharmacy,1,0,0,0,85,0,5,0
2021-11-07,1,pharmacy,1,1,0,0,104,1111,6,0
2021-11-08,1,supermarket,1,0,0,0,91,29,0,0
2021-11-09,1,supermarket,1,0,0,0,108,0,1,0
2021-11-10,1,convenience,1,1,1,0,108,1015,2,0
2021-11-11,1,supermarket,1,0,0,0,94,0,3,1
2021-11-12,1,convenience,0,1,0,0,0,0,4,0
2021-11-13,1,convenience,1,1,0,0,95,835,5,0
2021-11-14,1,convenience,1,1,0,0,124,963,6,0
2021-11-15,1,convenience,1,0,0,0,115,0,0,0
2021-11-16,1,convenience,1,0,0,0,117,0,1,0
2021-11-17,1,pharmacy,1,0,0,0,88,51,2,0
2021-11-18,1,supermarket,1,0,0,0,109,135,3,0
2021-11-19,1,convenience,1,0,0,0,95,0,4,0
2021-11-20,1,supermarket,0,0,0,0,0,0,5,0
2021-11-21,1,supermarket,1,1,0,0,105,1229,6,0
2021-11-22,1,convenience,1,0,0,0,105,112,0,0
2021-11-23,1,pharmacy,1,1,0,0,97,1082,1,0
2021-11-24,1,convenience,1,1,0,0,109,938,2,0
2021-11-25,1,pharmacy,1,0,0,0,116,0,3,1
2021-11-26,1,supermarket,1,0,0,0,89,72,4,0
2021-11-27,1,pharmacy,1,0,0,0,99,153,5,0
2021-11-28,1,pharmacy,1,1,0,0,97,880,6,0
2021-11-29,1,pharmacy,1,0,0,0,98,29,0,0
2021-11-30,1,supermarket,1,0,0,0,86,254,1,0
2021-12-01,1,supermarket,1,0,1,0,111,0,2,0
2021-12-02,1,pharmacy,1,1,0,0,95,1025,3,0
2021-12-03,1,pharmacy,1,1,0,0,82,898,4,0
2021-12-04,1,convenience,1,0,0,0,101,0,5,0
2021-12-05,1,pharmacy,1,0,1,0,97,109,6,0
2021-12-06,1,convenience,1,0,1,0,102,180,0,0
2021-12-07,1,pharmacy,1,0,0,0,118,0,1,0
2021-12-08,1,convenience,1,1,0,0,83,653,2,0
2021-12-09,1,supermarket,1,1,0,0,122,1588,3,0
2021-12-10,1,pharmacy,1,1,0,0,135,1545,4,0
2021-12-11,1,pharmacy,1,0,1,0,109,43,5,0
2021-12-12,1,pharmacy,1,0,0,0,92,69,6,0
2021-12-13,1,pharmacy,1,0,0,0,106,9,0,0
2021-12-14,1,convenience,1,0,0,0,91,48,1,0
2021-12-15,1,pharmacy,1,0,1,0,114,0,2,0
2021-12-16,1,supermarket,1,1,0,0,82,961,3,0
2021-12-17,1,supermarket,1,0,0,0,105,0,4,0
2021-12-18,1,pharmacy,1,1,0,0,77,806,5,0
2021-12-19,1,supermarket,1,0,1,0,96,46,6,0
2021-12-20,1,pharmacy,1,0,0,0,94,29,0,0
2021-12-21,1,pharmacy,1,0,1,0,114,0,1,0
2021-12-22,1,supermarket,1,0,0,0,101,0,2,0
2021-12-23,1,pharmacy,1,0,0,0,105,2,3,0
2021-12-24,1,supermarket,1,1,0,0,117,1557,4,1
2021-12-25,1,convenience,1,0,0,0,99,0,5,1
2021-12-26,1,pharmacy,1,1,0,0,106,1175,6,0
2021-12-27,1,convenience,1,1,0,0,119,1063,0,0
2021-12-28,1,supermarket,0,0,0,0,0,0,1,0
2021-12-29,1,convenience,1,1,0,0,84,636,2,0
2021-12-30,1,convenience,1,0,0,0,96,0,3,0
2021-12-31,1,supermarket,0,1,0,0,0,0,4,1
2022-01-01,1,convenience,0,0,0,0,0,0,5,1
2022-01-02,1,convenience,1,0,0,0,93,0,6,0
2022-01-03,1,supermarket,1,0,0,0,89,146,0,0
2022-01-04,1,convenience,1,0,1,0,118,41,1,0
2022-01-05,1,supermarket,1,1,0,0,93,1174,2,0
2022-01-06,1,convenience,1,1,0,0,103,1137,3,0
2022-01-07,1,supermarket,1,1,0,0,99,1153,4,0
2022-01-08,1,supermarket,1,0,0,0,104,85,5,0
2022-01-09,1,convenience,1,0,0,0,95,58,6,0
2022-01-10,1,convenience,1,0,0,0,108,153,0,0
2022-01-11,1,convenience,1,0,0,0,101,69,1,0
2022-01-12,1,pharmacy,0,0,0,0,0,0,2,0
2022-01-13,1,pharmacy,1,0,0,0,107,42,3,0
2022-01-14,1,pharmacy,0,0,0,0,0,0,4,0
2022-01-15,1,supermarket,1,0,1,0,106,0,5,0
2022-01-16,1,convenience,1,0,0,0,103,0,6,0
2022-01-17,1,supermarket,1,0,0,0,92,0,0,1
2022-01-18,1,pharmacy,1,1,0,0,115,1175,1,0
2022-01-19,1,convenience,1,0,0,0,112,0,2,0
2022-01-20,1,supermarket,1,1,0,0,95,1169,3,0
2022-01-21,1,convenience,1,0,0,0,111,36,4,0
2022-01-22,1,supermarket,0,1,0,0,0,0,5,0
2022-01-23,1,convenience,1,0,0,0,112,190,6,0
2022-01-24,1,pharmacy,1,0,0,0,122,0,0,0
2022-01-25,1,pharmacy,1,0,1,0,94,155,1,0
2022-01-26,1,convenience,1,1,1,0,97,1122,2,0
2022-01-27,1,supermarket,1,0,0,0,96,176,3,0
2022-01-28,1,pharmacy,1,0,0,0,100,0,4,0
2022-01-29,1,pharmacy,1,1,0,0,103,1178,5,0
2022-01-30,1,pharmacy,1,0,0,0,89,0,6,0
2022-01-31,1,convenience,1,0,0,0,93,0,0,0
2022-02-01,1,convenience,1,0,0,0,104,172,1,0
2022-02-02,1,supermarket,1,0,1,0,81,69,2,0
2022-02-03,1,supermarket,1,0,0,0,103,75,3,0
2022-02-04,1,supermarket,1,0,0,0,99,0,4,0
2022-02-05,1,convenience,1,1,0,0,81,581,5,0
2022-02-06,1,convenience,1,1,0,0,75,780,6,0
2022-02-07,1,supermarket,1,0,1,0,114,42,0,0
2022-02-08,1,supermarket,1,0,0,0,101,0,1,0
2022-02-09,1,convenience,0,1,0,0,0,0,2,0
2022-02-10,1,supermarket,0,1,0,0,0,0,3,0
2022-02-11,1,pharmacy,1,1,1,0,108,1102,4,0
2022-02-12,1,convenience,1,0,0,0,123,0,5,0
2022-02-13,1,supermarket,1,1,0,0,89,1127,6,0
2022-02-14,1,convenience,1,1,0,0,85,718,0,0
2022-02-15,1,pharmacy,0,0,0,0,0,0,1,0
2022-02-16,1,convenience,1,0,1,0,90,0,2,0
2022-02-17,1,convenience,1,0,0,0,97,143,3,0
2022-02-18,1,convenience,1,0,0,0,97,84,4,0
2022-02-19,1,convenience,1,1,0,0,97,863,5,0
2022-02-20,1,pharmacy,1,1,1,0,106,1153,6,0
2022-02-21,1,convenience,0,1,0,0,0,0,0,1
2022-02-22,1,convenience,1,1,0,0,84,887,1,0
2022-02-23,1,supermarket,1,0,0,0,100,8,2,0
2022-02-24,1,convenience,1,0,0,0,115,0,3,0
2022-02-25,1,supermarket,1,1,1,0,125,1379,4,0
2022-02-26,1,pharmacy,1,0,0,0,96,0,5,0
2022-02-27,1,pharmacy,1,0,0,0,92,0,6,0
2022-02-28,1,pharmacy,1,0,0,0,81,34,0,0
2022-03-01,1,pharmacy,1,0,0,0,94,45,1,0
2022-03-02,1,supermarket,1,0,0,0,100,119,2,0
2022-03-03,1,convenience,1,0,0,0,103,0,3,0
2022-03-04,1,pharmacy,1,0,0,0,103,103,4,0
2022-03-05,1,convenience,1,1,0,0,87,944,5,0
2022-03-06,1,supermarket,1,1,0,0,95,1147,6,0
2022-03-07,1,supermarket,0,1,1,0,0,0,0,0
2022-03-08,1,supermarket,0,0,1,0,0,0,1,0
2022-03-09,1,pharmacy,1,1,0,0,101,1063,2,0
2022-03-10,1,convenience,1,1,0,0,114,1320,3,0
2022-03-11,1,convenience,1,0,0,0,102,0,4,0
2022-03-12,1,convenience,1,1,0,0,118,1201,5,0
2022-03-13,1,supermarket,0,0,0,0,0,0,6,0
2022-03-14,1,pharmacy,1,1,0,0,81,921,0,0
2022-03-15,1,supermarket,1,0,0,0,91,130,1,0
2022-03-16,1,supermarket,1,0,0,0,97,15,2,0
2022-03-17,1,convenience,0,0,0,0,0,0,3,0
2022-03-18,1,supermarket,1,0,0,0,88,0,4,0
2022-03-19,1,convenience,1,0,0,0,100,0,5,0
2022-03-20,1,pharmacy,1,1,0,0,74,920,6,0
2022-03-21,1,convenience,1,1,0,0,110,924,0,0
2022-03-22,1,pharmacy,1,1,0,0,77,868,1,0
2022-03-23,1,convenience,1,0,0,0,96,2,2,0
2022-03-24,1,supermarket,1,1,0,0,110,1380,3,0
2022-03-25,1,supermarket,0,0,0,0,0,0,4,0
2022-03-26,1,pharmacy,1,1,0,0,118,1271,5,0
2022-03-27,1,pharmacy,1,0,0,0,103,41,6,0
2022-03-28,1,pharmacy,1,0,0,0,114,32,0,0
2022-03-29,1,convenience,0,1,0,0,0,0,1,0
2022-03-30,1,convenience,1,1,0,0,102,907,2,0
2022-03-31,1,pharmacy,1,0,0,0,122,126,3,0
2022-04-01,1,supermarket,1,1,1,0,105,1505,4,0
2022-04-02,1,convenience,1,0,1,0,108,0,5,0
2022-04-03,1,convenience,1,1,0,0,95,937,6,0
2022-04-04,1,convenience,0,0,0,0,0,0,0,0
2022-04-05,1,pharmacy,1,0,0,0,100,0,1,0
